               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088777,            0.030604,                   0,            0.058039,                 0.4,            0.079941,            0.030112,             0.05156,            0.020805,                   0,              0.0784,              0.0024,              0.0024
                   1,            0.066081,            0.027266,                   0,             0.15191,                 0.4,             0.11567,            0.030327,            0.049994,             0.01573,                   0,            0.055738,           0.0047383,           0.0047383
                   2,            0.060572,            0.019875,                   0,             0.49292,               0.384,              0.4385,             0.11306,            0.048475,            0.012677,                   0,            0.032912,           0.0069116,           0.0069116
                   3,            0.056787,            0.019347,                   0,             0.46756,               0.768,             0.46627,             0.14289,            0.051471,            0.010329,                   0,           0.0099199,           0.0089199,           0.0089199
                   4,            0.056597,            0.016854,                   0,             0.67843,               0.712,             0.65551,             0.26463,            0.038559,             0.00898,                   0,             0.00868,             0.00868,             0.00868
                   5,            0.047121,            0.014954,                   0,             0.53036,                0.84,             0.54716,             0.20554,            0.032406,           0.0081205,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.044079,            0.014177,                   0,             0.90649,              0.9306,             0.92889,             0.38598,            0.033487,           0.0073603,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.042801,            0.012089,                   0,             0.97627,               0.968,              0.9927,             0.52786,            0.027392,           0.0067798,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.039634,            0.011832,                   0,             0.97598,               0.984,             0.98411,             0.45182,            0.030539,           0.0064598,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.041749,            0.012467,                   0,             0.96826,             0.97628,             0.99304,             0.49841,            0.027268,            0.006469,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.037163,            0.010942,                   0,             0.97615,             0.98233,             0.98823,             0.56645,            0.027523,           0.0061306,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.037431,            0.010815,                   0,             0.99063,                   1,               0.995,             0.60783,            0.021311,           0.0059677,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.034336,            0.010324,                   0,             0.98011,               0.976,             0.98417,             0.66014,            0.019921,           0.0059265,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.034197,            0.010057,                   0,             0.98425,             0.99992,             0.99388,             0.60371,            0.020669,           0.0059825,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.031537,           0.0099007,                   0,             0.99023,                   1,             0.99365,             0.59791,            0.020697,           0.0059265,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.032251,           0.0095895,                   0,                   1,             0.99197,               0.995,              0.5765,            0.021127,            0.005757,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.030443,           0.0096765,                   0,             0.99819,                   1,               0.995,             0.64469,            0.020232,           0.0056967,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.026747,           0.0090833,                   0,             0.99943,                   1,               0.995,              0.5804,            0.023412,           0.0057992,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.028088,           0.0087459,                   0,             0.99778,                   1,               0.995,             0.62129,            0.021472,           0.0057462,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.029712,           0.0092405,                   0,                   1,             0.99949,               0.995,             0.62407,            0.021976,           0.0056563,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.027976,           0.0093762,                   0,             0.99949,                   1,               0.995,             0.64361,            0.020994,           0.0057748,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.028504,           0.0091813,                   0,             0.99674,                   1,               0.995,              0.6466,            0.019573,           0.0055405,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.025834,           0.0094925,                   0,             0.99916,                   1,               0.995,             0.66095,             0.02078,           0.0055015,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.025207,            0.008841,                   0,             0.99899,                   1,               0.995,             0.67947,            0.019885,           0.0053769,                   0,             0.00274,             0.00274,             0.00274
                  24,             0.02655,            0.008781,                   0,                   1,             0.99954,               0.995,             0.66322,             0.01984,           0.0054632,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.024867,           0.0090227,                   0,              0.9984,                   1,               0.995,              0.6669,            0.019915,           0.0054774,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.024963,           0.0083851,                   0,             0.99111,               0.992,             0.99244,             0.67172,            0.020568,           0.0054082,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.026182,           0.0088469,                   0,             0.99933,                   1,               0.995,             0.63986,            0.020141,           0.0055073,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.024449,           0.0085068,                   0,              0.9993,                   1,               0.995,             0.67053,            0.019176,           0.0053641,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.023664,           0.0083713,                   0,              0.9993,                   1,               0.995,             0.67834,            0.019151,           0.0053971,                   0,             0.00076,             0.00076,             0.00076
